phase,iteration,mean_reward
final_audited,0,23.316972732543945
final_audited,1,40.76411819458008
final_audited,2,38.41197967529297
final_audited,3,39.56965637207031
final_audited,4,40.5921630859375
final_audited,5,41.6553840637207
final_audited,6,43.814064025878906
final_audited,7,49.88804244995117
final_audited,8,57.4135856628418
final_audited,9,56.82280731201172
final_audited,10,62.5820198059082
final_audited,11,68.94989013671875
final_audited,12,73.92899322509766
final_audited,13,87.09443664550781
final_audited,14,88.7388916015625
final_audited,15,108.67417907714844
final_audited,16,108.90763092041016
final_audited,17,87.34380340576172
final_audited,18,93.83361053466797
final_audited,19,97.72257232666016
final_audited,20,98.12432861328125
final_audited,21,104.73694610595703
final_audited,22,112.22501373291016
final_audited,23,113.06183624267578
final_audited,24,119.09758758544922
final_audited,25,120.58218383789062
final_audited,26,118.78628540039062
final_audited,27,121.80712890625
final_audited,28,131.72410583496094
final_audited,29,135.1061553955078
final_audited,30,138.5738525390625
final_audited,31,147.416748046875
final_audited,32,151.83514404296875
final_audited,33,140.73219299316406
final_audited,34,140.34640502929688
final_audited,35,143.56088256835938
final_audited,36,153.6060333251953
final_audited,37,149.3350067138672
final_audited,38,162.4365234375
final_audited,39,155.53366088867188
final_audited,40,156.82672119140625
final_audited,41,160.62644958496094
final_audited,42,177.0518798828125
final_audited,43,165.8533935546875
final_audited,44,189.5872802734375
final_audited,45,185.52792358398438
final_audited,46,193.77455139160156
final_audited,47,192.46041870117188
final_audited,48,190.03652954101562
final_audited,49,196.75160217285156
final_audited,50,182.79238891601562
final_audited,51,185.4606170654297
final_audited,52,191.28692626953125
final_audited,53,187.38368225097656
final_audited,54,200.8617401123047
final_audited,55,190.36952209472656
final_audited,56,202.91372680664062
final_audited,57,198.65594482421875
final_audited,58,207.4459991455078
final_audited,59,207.65750122070312
final_audited,60,210.13247680664062
final_audited,61,206.9353485107422
final_audited,62,208.36517333984375
final_audited,63,210.83233642578125
final_audited,64,208.5909423828125
final_audited,65,211.7756805419922
final_audited,66,203.42591857910156
final_audited,67,202.80059814453125
final_audited,68,208.12828063964844
final_audited,69,199.69467163085938
final_audited,70,205.18885803222656
final_audited,71,209.25967407226562
final_audited,72,202.2077178955078
final_audited,73,211.93460083007812
final_audited,74,209.89801025390625
final_audited,75,214.70826721191406
final_audited,76,215.6099090576172
final_audited,77,208.0640869140625
final_audited,78,218.64013671875
final_audited,79,215.08416748046875
final_audited,80,215.75376892089844
final_audited,81,217.179931640625
final_audited,82,215.69485473632812
final_audited,83,208.1012725830078
final_audited,84,210.95350646972656
final_audited,85,215.19837951660156
final_audited,86,210.522216796875
final_audited,87,210.8782196044922
final_audited,88,212.6586151123047
final_audited,89,211.6598358154297
final_audited,90,214.79104614257812
final_audited,91,216.91546630859375
final_audited,92,220.0110626220703
final_audited,93,224.1319122314453
final_audited,94,227.4713134765625
final_audited,95,218.27886962890625
final_audited,96,214.25967407226562
final_audited,97,209.48915100097656
final_audited,98,221.9496307373047
final_audited,99,216.982666015625
final_audited,100,219.1204833984375
final_audited,101,219.98475646972656
final_audited,102,222.20611572265625
final_audited,103,222.93283081054688
final_audited,104,210.85812377929688
final_audited,105,213.2726287841797
final_audited,106,216.99258422851562
final_audited,107,233.0399169921875
final_audited,108,233.95474243164062
final_audited,109,226.3648681640625
final_audited,110,225.42352294921875
final_audited,111,232.76271057128906
final_audited,112,225.8860626220703
final_audited,113,231.0340118408203
final_audited,114,237.69094848632812
final_audited,115,228.27926635742188
final_audited,116,241.74290466308594
final_audited,117,233.72286987304688
final_audited,118,236.64036560058594
final_audited,119,232.56199645996094
final_audited,120,239.98330688476562
final_audited,121,225.11959838867188
final_audited,122,259.00579833984375
final_audited,123,242.0817108154297
final_audited,124,251.8032684326172
final_audited,125,270.24761962890625
final_audited,126,268.4234619140625
final_audited,127,265.94757080078125
final_audited,128,267.42889404296875
final_audited,129,253.47708129882812
final_audited,130,271.4249572753906
final_audited,131,277.9643249511719
final_audited,132,278.27642822265625
final_audited,133,288.47406005859375
final_audited,134,278.9151306152344
final_audited,135,300.6883239746094
final_audited,136,305.6561279296875
final_audited,137,309.9349060058594
final_audited,138,307.9601745605469
final_audited,139,313.2208251953125
final_audited,140,314.4117736816406
final_audited,141,340.767822265625
final_audited,142,335.0873718261719
final_audited,143,334.93597412109375
final_audited,144,365.1681823730469
final_audited,145,354.2582092285156
final_audited,146,355.0476379394531
final_audited,147,396.34149169921875
final_audited,148,397.4470520019531
final_audited,149,394.15576171875
final_audited,150,400.7843322753906
final_audited,151,423.4999694824219
final_audited,152,462.2850646972656
final_audited,153,461.37200927734375
final_audited,154,465.7135009765625
final_audited,155,418.4667663574219
final_audited,156,456.85638427734375
final_audited,157,476.1702575683594
final_audited,158,490.60052490234375
final_audited,159,493.64288330078125
final_audited,160,477.7392883300781
final_audited,161,483.83892822265625
final_audited,162,509.4810485839844
final_audited,163,500.6786193847656
final_audited,164,521.3035888671875
final_audited,165,497.3619384765625
final_audited,166,517.4979858398438
final_audited,167,551.4022827148438
final_audited,168,522.7679443359375
final_audited,169,540.7548828125
final_audited,170,528.0938110351562
final_audited,171,575.2269287109375
final_audited,172,565.7007446289062
final_audited,173,562.8974609375
final_audited,174,560.1680908203125
final_audited,175,557.0739135742188
final_audited,176,563.7528686523438
final_audited,177,554.956298828125
final_audited,178,580.2044677734375
final_audited,179,587.3628540039062
final_audited,180,546.5406494140625
final_audited,181,606.9219970703125
final_audited,182,598.6136474609375
final_audited,183,601.3204956054688
final_audited,184,624.3508911132812
final_audited,185,631.3265380859375
final_audited,186,602.5087890625
final_audited,187,594.1212158203125
final_audited,188,613.905029296875
final_audited,189,626.0521240234375
final_audited,190,625.2536010742188
final_audited,191,633.2007446289062
final_audited,192,624.2625732421875
final_audited,193,610.6124267578125
final_audited,194,637.9319458007812
final_audited,195,653.0557250976562
final_audited,196,628.7255859375
final_audited,197,632.9171142578125
final_audited,198,651.4262084960938
final_audited,199,627.203125
final_audited,200,651.6338500976562
