phase,iteration,mean_reward
final_audited,400,9.760628700256348
final_audited,401,61.81856155395508
final_audited,402,134.07415771484375
final_audited,403,207.82447814941406
final_audited,404,285.1241760253906
final_audited,405,361.04376220703125
final_audited,406,430.7841491699219
final_audited,407,507.7742919921875
final_audited,408,589.4636840820312
final_audited,409,661.559326171875
final_audited,410,750.3517456054688
final_audited,411,821.1299438476562
final_audited,412,897.5668334960938
final_audited,413,979.984375
final_audited,414,1060.6820068359375
final_audited,415,1116.3984375
final_audited,416,1133.1051025390625
final_audited,417,1130.0322265625
final_audited,418,1138.5986328125
final_audited,419,1139.6285400390625
final_audited,420,1144.0189208984375
final_audited,421,1140.9825439453125
final_audited,422,1144.5960693359375
final_audited,423,1155.8790283203125
final_audited,424,1154.9229736328125
final_audited,425,1145.25146484375
final_audited,426,1162.146728515625
final_audited,427,1144.2525634765625
final_audited,428,1164.23876953125
final_audited,429,1178.8692626953125
final_audited,430,1170.3009033203125
final_audited,431,1182.060302734375
final_audited,432,1188.967529296875
final_audited,433,1190.619384765625
final_audited,434,1198.1646728515625
final_audited,435,1192.9263916015625
final_audited,436,1196.9228515625
final_audited,437,1210.496337890625
final_audited,438,1196.9400634765625
final_audited,439,1215.70166015625
final_audited,440,1204.353515625
final_audited,441,1200.9830322265625
final_audited,442,1215.539794921875
final_audited,443,1223.607421875
final_audited,444,1227.4566650390625
final_audited,445,1238.62451171875
final_audited,446,1240.6944580078125
final_audited,447,1239.5233154296875
final_audited,448,1245.7432861328125
final_audited,449,1238.718017578125
final_audited,450,1248.715087890625
