phase,iteration,mean_reward
final_audited,0,23.588882446289062
final_audited,1,39.26383590698242
final_audited,2,39.53464126586914
final_audited,3,38.840545654296875
final_audited,4,37.87324905395508
final_audited,5,42.65855026245117
final_audited,6,46.396488189697266
final_audited,7,49.877166748046875
final_audited,8,57.181846618652344
final_audited,9,61.54407501220703
final_audited,10,59.69749069213867
final_audited,11,70.5422134399414
final_audited,12,80.88378143310547
final_audited,13,85.8441162109375
final_audited,14,90.53624725341797
final_audited,15,101.50019073486328
final_audited,16,106.06129455566406
final_audited,17,96.36651611328125
final_audited,18,101.7358169555664
final_audited,19,103.67784881591797
final_audited,20,103.57757568359375
final_audited,21,107.04786682128906
final_audited,22,110.34174346923828
final_audited,23,117.7972183227539
final_audited,24,114.27615356445312
final_audited,25,115.90773010253906
final_audited,26,124.68132781982422
final_audited,27,135.1363983154297
final_audited,28,136.2674102783203
final_audited,29,144.11846923828125
final_audited,30,146.17855834960938
final_audited,31,148.74847412109375
final_audited,32,159.54873657226562
final_audited,33,161.55899047851562
final_audited,34,163.26852416992188
final_audited,35,161.31312561035156
final_audited,36,163.70774841308594
final_audited,37,161.3341522216797
final_audited,38,163.20558166503906
final_audited,39,161.23489379882812
final_audited,40,174.2245330810547
final_audited,41,175.24073791503906
final_audited,42,162.3748016357422
final_audited,43,175.26626586914062
final_audited,44,179.3024444580078
final_audited,45,182.3767547607422
final_audited,46,187.91244506835938
final_audited,47,202.75306701660156
final_audited,48,186.34487915039062
final_audited,49,188.88198852539062
final_audited,50,189.81895446777344
final_audited,51,200.0210418701172
final_audited,52,186.35540771484375
final_audited,53,195.31076049804688
final_audited,54,196.1343994140625
final_audited,55,198.29014587402344
final_audited,56,194.9020233154297
final_audited,57,197.44895935058594
final_audited,58,198.1136474609375
final_audited,59,205.39039611816406
final_audited,60,205.69741821289062
final_audited,61,193.31568908691406
final_audited,62,205.43519592285156
final_audited,63,209.24276733398438
final_audited,64,205.69772338867188
final_audited,65,201.38668823242188
final_audited,66,192.39501953125
final_audited,67,201.34991455078125
final_audited,68,204.25930786132812
final_audited,69,196.0657501220703
final_audited,70,185.7482147216797
final_audited,71,193.8596649169922
final_audited,72,196.662109375
final_audited,73,197.0360870361328
