phase,iteration,mean_reward
final_audited,617,110.35449981689453
final_audited,618,130.2161865234375
final_audited,619,130.53114318847656
final_audited,620,132.67578125
final_audited,621,134.90390014648438
final_audited,622,132.8463897705078
final_audited,623,133.21075439453125
final_audited,624,130.58262634277344
final_audited,625,134.96145629882812
final_audited,626,134.72964477539062
final_audited,627,137.8943328857422
final_audited,628,137.50271606445312
final_audited,629,132.53900146484375
final_audited,630,132.1122283935547
final_audited,631,135.309326171875
final_audited,632,135.81890869140625
final_audited,633,134.6336669921875
final_audited,634,135.80633544921875
final_audited,635,135.1671142578125
final_audited,636,134.7337188720703
final_audited,637,134.92764282226562
final_audited,638,136.10694885253906
final_audited,639,136.2059783935547
final_audited,640,133.48109436035156
final_audited,641,133.18222045898438
final_audited,642,135.3668975830078
final_audited,643,137.46902465820312
final_audited,644,136.140380859375
final_audited,645,133.75904846191406
final_audited,646,134.35763549804688
final_audited,647,134.69967651367188
final_audited,648,137.89614868164062
final_audited,649,137.55712890625
final_audited,650,135.80929565429688
final_audited,651,139.81576538085938
final_audited,652,136.60414123535156
final_audited,653,137.0880584716797
final_audited,654,139.3692626953125
final_audited,655,136.14634704589844
final_audited,656,138.25022888183594
final_audited,657,138.21742248535156
final_audited,658,136.8975372314453
final_audited,659,139.1558380126953
final_audited,660,140.13516235351562
final_audited,661,138.63143920898438
final_audited,662,138.59779357910156
final_audited,663,138.25111389160156
final_audited,664,139.9303436279297
final_audited,665,138.08546447753906
final_audited,666,140.9521026611328
final_audited,667,141.1099395751953
final_audited,668,140.25177001953125
final_audited,669,139.37339782714844
final_audited,670,139.03538513183594
final_audited,671,140.13824462890625
final_audited,672,139.77145385742188
final_audited,673,146.6559295654297
final_audited,674,143.54733276367188
final_audited,675,142.33778381347656
final_audited,676,141.65921020507812
final_audited,677,142.3136444091797
final_audited,678,143.83560180664062
final_audited,679,142.11026000976562
final_audited,680,145.19100952148438
final_audited,681,142.6287384033203
final_audited,682,143.08236694335938
final_audited,683,146.75624084472656
final_audited,684,147.61192321777344
final_audited,685,148.40621948242188
final_audited,686,143.1584930419922
final_audited,687,146.5350341796875
final_audited,688,144.46832275390625
final_audited,689,146.77972412109375
final_audited,690,146.23074340820312
final_audited,691,146.09657287597656
final_audited,692,147.6945343017578
final_audited,693,149.6069793701172
final_audited,694,142.6667022705078
final_audited,695,143.5915985107422
final_audited,696,144.15383911132812
final_audited,697,145.45396423339844
final_audited,698,142.61245727539062
final_audited,699,145.8876953125
final_audited,700,145.7180938720703
final_audited,701,151.09622192382812
final_audited,702,147.67593383789062
final_audited,703,152.20477294921875
final_audited,704,147.85621643066406
final_audited,705,146.4517364501953
final_audited,706,147.24105834960938
final_audited,707,149.1060333251953
final_audited,708,152.6049041748047
final_audited,709,150.9012451171875
final_audited,710,152.43104553222656
final_audited,711,154.6575927734375
final_audited,712,150.89102172851562
final_audited,713,154.7798309326172
final_audited,714,150.452880859375
final_audited,715,153.10350036621094
final_audited,716,156.7031707763672
final_audited,717,155.56674194335938
final_audited,718,149.8435516357422
final_audited,719,154.01426696777344
final_audited,720,156.63693237304688
final_audited,721,154.1273651123047
final_audited,722,155.9506072998047
final_audited,723,156.61985778808594
final_audited,724,154.31394958496094
final_audited,725,158.64703369140625
final_audited,726,159.66513061523438
final_audited,727,158.23423767089844
final_audited,728,160.40260314941406
final_audited,729,161.84934997558594
final_audited,730,159.6392822265625
final_audited,731,162.44610595703125
final_audited,732,155.06692504882812
final_audited,733,159.76980590820312
final_audited,734,164.69012451171875
final_audited,735,165.06448364257812
final_audited,736,156.9815673828125
final_audited,737,160.9479217529297
final_audited,738,164.34152221679688
final_audited,739,164.744140625
final_audited,740,162.4200897216797
final_audited,741,159.63291931152344
final_audited,742,165.14129638671875
final_audited,743,166.32577514648438
final_audited,744,163.02835083007812
final_audited,745,161.33140563964844
final_audited,746,167.3233184814453
final_audited,747,169.77894592285156
final_audited,748,161.0488739013672
final_audited,749,170.39283752441406
final_audited,750,169.7374725341797
final_audited,751,169.32623291015625
final_audited,752,168.35284423828125
final_audited,753,167.33738708496094
final_audited,754,169.77163696289062
final_audited,755,164.6940460205078
final_audited,756,165.13876342773438
final_audited,757,169.9388885498047
final_audited,758,173.254638671875
final_audited,759,169.65301513671875
final_audited,760,162.5938262939453
final_audited,761,166.95770263671875
final_audited,762,173.13259887695312
final_audited,763,169.9044952392578
final_audited,764,167.80026245117188
final_audited,765,173.37046813964844
